policy_id,practice,modality,evidence,explanation,grounded_in_evidence,understandable,not_misleading,reviewer_notes
2,Identifier_SIM_Serial_3rdParty,PERFORMED,"""Ad networks who provide adverts to our mobile applications may access your unique device identifier""",Third-party ad networks collect and use SIM serial numbers for tracking user behavior.,,,,
2,Identifier_1stParty,PERFORMED,"""AI Factory may collect and use anonymous data, via Google Analytics""",The app collects and uses device identifiers for analytics purposes.,,,,
206,Contact_E_Mail_Address_1stParty,PERFORMED,"""including your name, address, and e-mail address""",The policy explicitly mentions collecting email addresses.,,,,
206,Location_IP_Address_1stParty,PERFORMED,"""We collect information in two primary ways: You give it to us when you login with your Facebook credential; We collect it automatically when you visit our websites or use our products and services""",The policy states that IP addresses are collected automatically when users visit the website.,,,,
206,Identifier_IP_Address_1stParty,PERFORMED,"""We collect information in two primary ways: You give it to us when you login with your Facebook credential; We collect it automatically when you visit our websites or use our products and services""",The policy states that IP addresses are collected automatically when users visit the website.,,,,
206,Demographic_Age_1stParty,PERFORMED,"""We may collect different types of personal and other information based on your use of our products and services. Some examples include: Equipment, Performance, ContextLogic Websites Usage, Viewing and other Technical Information about your use of our network, services, products or websites""",The policy mentions collecting various types of information including demographic age.,,,,
331,Demographic_1stParty,PERFORMED,"""To personalize user experience. We may use your Non- Personal Information to understand demographics, customer interest, and other trends among our users""",The app uses non-personal information to understand demographic data.,,,,
42,Contact_E_Mail_Address_1stParty,PERFORMED,"d zkdes@gmail.com This document was last updated on November 27, 2013",The email address is provided for contact purposes.,,,,
42,Identifier_IP_Address_1stParty,PERFORMED,"Non-personal identification information may include the browser name, the type of computer and technical information about Users means of connection to our Services, such as the operating system and the Internet service providers utilized and other similar information.",The app collects IP address as part of non-personal identification information.,,,,
42,Location_IP_Address_1stParty,PERFORMED,"Non-personal identification information may include the browser name, the type of computer and technical information about Users means of connection to our Services, such as the operating system and the Internet service providers utilized and other similar information.",The app collects IP address as part of location-based non-personal identification information.,,,,
190,Contact_E_Mail_Address_1stParty,PERFORMED,contact@playrix.com .,The privacy policy provides an email address for contacting the company regarding privacy concerns.,,,,
190,Identifier_IP_Address_1stParty,PERFORMED,"We may use your Personal Information to contact you as needed, including but not limited to by sending you notifications. If you do not want to receive further notifications from us, you can always disable this option.",The policy mentions using IP addresses for contacting users.,,,,
190,Location_IP_Address_1stParty,PERFORMED,"We may use your Personal Information to contact you as needed, including but not limited to by sending you notifications. If you do not want to receive further notifications from us, you can always disable this option.",The policy mentions using IP addresses for contacting users.,,,,
190,Identifier_Device_ID_3rdParty,PERFORMED,"Our games may contain third-party tracking tools from our service providers, for example, Google Analytics. Such third parties may use SDKs, APIs, and cookies in our games to enable them to collect and analyze user information on our behalf.",The policy states that third parties can access device identifiers through the use of tracking tools.,,,,
190,Identifier_MAC_3rdParty,PERFORMED,"Our games may contain third-party tracking tools from our service providers, for example, Google Analytics. Such third parties may use SDKs, APIs, and cookies in our games to enable them to collect and analyze user information on our behalf.",The policy mentions that third parties can access MAC addresses through the use of tracking tools.,,,,
190,Identifier_IMEI_3rdParty,PERFORMED,"Our games may contain third-party tracking tools from our service providers, for example, Google Analytics. Such third parties may use SDKs, APIs, and cookies in our games to enable them to collect and analyze user information on our behalf.",The policy states that third parties can access IMEI numbers through the use of tracking tools.,,,,
190,Identifier_Cookie_or_similar_Tech_1stParty,PERFORMED,"Our website may use cookies to store information about your visits. While cookies contain no personal information, they help us identify you as a unique user and/or your browser session.",The policy mentions using cookies for identifying users.,,,,
190,SSO_3rdParty,PERFORMED,When you use or connect to a Playrix’s website or download Playrix’s software via a third party platform — including Facebook — you allow us to access and/or collect certain information from your third-party platform profile/account.,The policy states that the app allows access to user information from third-party platforms like Facebook.,,,,
84,Demographic_1stParty,PERFORMED,"""To personalize user experience. We may use your Non- Personal Information to understand demographics, customer interest, and other trends among our users""",The app uses non-personal information to understand demographic data.,,,,
292,Contact_Address_Book_1stParty,PERFORMED,"""With your permission (on download or in the app), we may access and store your device's contact list to find your friends on the PicsArt Service, to invite them, or to share your Content with them""",The app accesses and stores the user's device contact list.,,,,
292,Location_GPS_1stParty,PERFORMED,"""We may also collect information about others if you use the PicsArt Service to upload, share and/or distribute Content that contains information about them, including their name, image and online contact information. If you geotag your photo or tag your photo using others' APIs then your latitude and longitude will be stored with the photo""",The app collects location data (latitude and longitude) when users geotag photos.,,,,
292,Identifier_Device_ID_1stParty,PERFORMED,"""Cookies - We automatically collect certain information through the use of 'cookies'. Cookies are small data files that are stored on your hard drive by a Web site. Among other things, the use of cookies helps us to improve the Site and your experience on the Site""",The app uses device identifiers (cookies) to track user activity.,,,,
292,Identifier_IP_Address_1stParty,PERFORMED,"""For example, it is standard for your Web browser to automatically send information to every Web site you visit, including ours. Such information includes your computer's Internet Protocol ('IP') address""",The app collects IP addresses as part of user activity data.,,,,
292,Identifier_Cookie_or_similar_Tech_1stParty,PERFORMED,"""Cookies - We automatically collect certain information through the use of 'cookies'. Cookies are small data files that are stored on your hard drive by a Web site""",The app uses cookies to track user activity.,,,,
292,SSO_1stParty,PERFORMED,"""When you link your account with Facebook, we might have access to your name""",The app supports Single Sign-On (SSO) through Facebook.,,,,
292,Facebook_SSO_1stParty,PERFORMED,"""When you link your account with Facebook, we might have access to your name""",The app supports Single Sign-On (SSO) through Facebook.,,,,
